,name,coordinates,Bed,Bath,parking,price,closestTrain,closestTram,closeTrainKM
https://www.domain.com.au/7-sprint-street-keilor-park-vic-3042-16645385,7 Sprint Street Keilor Park VIC 3042,[-37.7236355 144.8619256],3,2,2,600.0,POINT (144.9215249592794 -37.717936801314515),POINT (144.89060890297668 -37.72719185842497),3
https://www.domain.com.au/13-the-avenue-niddrie-vic-3042-16623491,13 The Avenue Niddrie VIC 3042,[-37.7351746 144.8770329],3,2,1,750.0,POINT (144.920945008834 -37.747196792053956),POINT (144.8893219127036 -37.73494580941007),3
https://www.domain.com.au/26a-jackson-street-niddrie-vic-3042-16644761,26A Jackson Street Niddrie VIC 3042,[-37.7392711 144.8890676],3,2,2,3042.0,POINT (144.920945008834 -37.747196792053956),POINT (144.8901740355893 -37.73653880963525),3
https://www.domain.com.au/15-kelvin-close-niddrie-vic-3042-16129979,15 Kelvin Close Niddrie VIC 3042,[-37.7454704 144.8834154],4,2,2,665.0,POINT (144.91620380884774 -37.7559987936601),POINT (144.8901740355893 -37.73653880963525),3
https://www.domain.com.au/5-62a-coghlan-street-niddrie-vic-3042-15900465,5/62A Coghlan Street Niddrie VIC 3042,[-37.7412069 144.8841891],4,2,3,2824.0,POINT (144.91620380884774 -37.7559987936601),POINT (144.8901740355893 -37.73653880963525),3
https://www.domain.com.au/2-12-michael-court-niddrie-vic-3042-16606952,2/12 Michael Court Niddrie VIC 3042,[-37.7436004 144.8835031],3,2,1,650.0,POINT (144.91620380884774 -37.7559987936601),POINT (144.8901740355893 -37.73653880963525),3
https://www.domain.com.au/1-138-hotham-rd-niddrie-vic-3042-16646952,1/138 Hotham Rd Niddrie VIC 3042,[-37.732876  144.8766378],3,1,1,59500.0,POINT (144.920945008834 -37.747196792053956),POINT (144.8893219127036 -37.73494580941007),3
https://www.domain.com.au/16-newman-street-niddrie-vic-3042-16649098,16 Newman Street Niddrie VIC 3042,[-37.7365215 144.8822764],3,1,1,550.0,POINT (144.920945008834 -37.747196792053956),POINT (144.88937087319735 -37.735244789451315),3
https://www.domain.com.au/6-10-elstone-ct-niddrie-vic-3042-16658554,6/10 Elstone Ct Niddrie VIC 3042,[-37.7345805 144.8881967],2,2,1,500.0,POINT (144.920945008834 -37.747196792053956),POINT (144.8893219127036 -37.73494580941007),3
https://www.domain.com.au/5-52-rosehill-road-niddrie-vic-3042-16654176,5/52 Rosehill Road Niddrie VIC 3042,[-37.7477059 144.88332  ],3,2,2,500.0,POINT (144.91620380884774 -37.7559987936601),POINT (144.8901740355893 -37.73653880963525),3
